input_text,target_text,style
"Calphurnia's face is pale , and Cicero's eyes are as red and fiery as they get when senators are arguing with him at the Capitol .","Calphurnia's cheek is pale , and Cicero Looks with such ferret and such fiery eyes As we have seen him in the Capitol Being crossed in conference by some senators .",shakespeare
Casca will tell us what's the matter .,Casca will tell us what the matter is .,shakespeare
Antonio !,Antonio .,shakespeare
Caesar ?,Caesar .,shakespeare
"Come , last of my friends , rest on this rock .","Come , poor remains of friends , rest on this rock .",shakespeare
"Statilius waved the torchlight at us , but he hasn't come back .","Statilius showed the torchlight but , my lord , He came not back .",shakespeare
He's been captured or killed .,He is or ta'en or slain .,shakespeare
"Sit down , Clitus .","Sit thee down , Clitus .",shakespeare
"Listen , Clitus .","Hark thee , Clitus .",shakespeare
"Who , me , my lord ?","What , I , my lord ?",shakespeare
"No , not for all the world .","No , not for all the world .",shakespeare
"Silence , then !",Peace then !,shakespeare
Don't give it away .,No words .,shakespeare
I'd rather kill myself .,I'll rather kill myself .,shakespeare
"Listen , Dardanius .","Hark thee , Dardanius .",shakespeare
Would I dare do something like that ?,Shall I do such a deed ?,shakespeare
Oh Dardanius !,O Dardanius !,shakespeare
Oh Clitus !,O Clitus !,shakespeare
"Come here , good Volumnius .","Come hither , good Volumnius .",shakespeare
Listen a minute .,List a word .,shakespeare
"What is it , my lord ?",What says my lord ?,shakespeare
"Once at Sardis and once last night , here in Philippi fields .","At Sardis once , And this last night here in Philippi fields .",shakespeare
I know that my hour has come .,I know my hour is come .,shakespeare
"No , it hasn't , my lord .","Not so , my lord .",shakespeare
"No , I'm sure it has , Volumnius .","Nay , I am sure it is , Volumnius .",shakespeare
"You see how the world goes , Volumnius .","Thou seest the world , Volumnius , how it goes .",shakespeare
Our enemies have driven us to the edge of the grave .,Our enemies have beat us to the pit .,shakespeare
It's nobler to leap in ourselves than dawdle until they push us .,It is more worthy to leap in ourselves Than tarry till they push us .,shakespeare
"Good Volumnius , you know that we went to school together .","Good Volumnius , Thou know'st that we two went to school together .",shakespeare
"For the sake of our old friendship , I ask you , hold my sword handle while I run on it .","Even for that our love of old , I prithee , Hold thou my sword hilts , whilst I run on it .",shakespeare
"That's not a job for a friend , my lord .","That's not an office for a friend , my lord .",shakespeare
"Run , run , my lord .","Fly , fly , my lord .",shakespeare
We can't wait here .,There is no tarrying here .,shakespeare
"Farewell to you , and you , and you , Volumnius .","Farewell to you. , And you. , And you , Volumnius .",shakespeare
"Strato , you've slept this whole time .","Strato , thou hast been all this while asleep .",shakespeare
"I'll have glory in this losing day , more than Octavius and Mark Antony will gain by their foul conquest .",I shall have glory by this losing day More than Octavius and Mark Antony By this vile conquest shall attain unto .,shakespeare
"So farewell , all , for my tongue has almost finished with its life .","So fare you well at once , for Brutus ' tongue Hath almost ended his life's history .",shakespeare
I can't see ahead of me .,Night hangs upon mine eyes .,shakespeare
My bones want to rest after helping me up to this hour .,"My bones would rest , That have but labored to attain this hour .",shakespeare
"Run , my lord , run .","Fly , my lord , fly .",shakespeare
Go on !,Hence .,shakespeare
I'll follow .,I will follow .,shakespeare
"I beg you , Strato , stay by me .","I prithee , Strato , stay thou by thy lord .",shakespeare
You're a man with a good reputation .,Thou art a fellow of a good respect .,shakespeare
Your life has had honor in it .,Thy life hath had some smatch of honor in it .,shakespeare
"Then , hold my sword and turn your face away while I run on it .",Hold then my sword and turn away thy face While I do run upon it .,shakespeare
"Will you , Strato ?","Wilt thou , Strato ?",shakespeare
"Give me your hand , first .",Give me your hand first .,shakespeare
"Farewell , good Strato .","Farewell , good Strato .",shakespeare
What man is that ?,What man is that ?,shakespeare
"Free from the bondage you are in , Messala .","Free from the bondage you are in , Messala .",shakespeare
I'll take all who served Brutus into my service .,"All that served Brutus , I will entertain them .",shakespeare
"You , will you join with me ?","Fellow , wilt thou bestow thy time with me ?",shakespeare
"Yes , if Messala recommends me to you .","Ay , if Messala will prefer me to you .",shakespeare
"Do so , good Messala .","Do so , good Messala .",shakespeare
"How did my master die , Strato ?","How died my master , Strato ?",shakespeare
I held the sword and he ran on it .,I held the sword and he did run on it .,shakespeare
"Then take this man into your service , Octavius , for he did the final service to my master .","Octavius , then take him to follow thee , That did the latest service to my master .",shakespeare
This was the noblest Roman of them all .,This was the noblest Roman of them all .,shakespeare
All the rest of the conspirators acted out of jealousy of great Caesar .,All the conspirators save only he Did that they did in envy of great Caesar .,shakespeare
Only he acted from honesty and for the general good .,"He only in a general honest thought And common good to all , made one of them .",shakespeare
"His life was gentle , and the elements mixed so well in him that Nature might stand up and say to all the world , ""This was a man."" Let's treat him according to his virtue , with all the respect and rituals of burial .","His life was gentle , and the elements So mixed in him that Nature might stand up And say to all the world , ""This was a man."" According to his virtue let us use him , With all respect and rites of burial .",shakespeare
"His body will lie in my tent tonight , with the honorable observance that suits a soldier .","Within my tent his bones tonight shall lie Most like a soldier , ordered honorably .",shakespeare
"So order the armies to rest , and let's go home to share the glories of this happy day .","So call the field to rest , and let's away To part the glories of this happy day .",shakespeare
"Yes , Casca .","Ay , Casca .",shakespeare
Tell us what happened today that put Caesar in such a serious mood .,Tell us what hath chanced today That Caesar looks so sad .,shakespeare
"But you were with him , weren't you ?","Why , you were with him , were you not ?",shakespeare
"If I were , I wouldn't need to ask you what happened .",I should not then ask Casca what had chanced .,shakespeare
"A crown was offered to him , and he pushed it away with the back of his hand , like this , and then the people started shouting .","Why , there was a crown offered him ; and , being offered him , he put it by with the back of his hand , thus ; and then the people fell a-shouting .",shakespeare
What was the second noise for ?,What was the second noise for ?,shakespeare
The same thing .,"Why , for that too .",shakespeare
They shouted three times .,They shouted thrice .,shakespeare
What was the last cry for ?,What was the last cry for ?,shakespeare
For the same thing .,"Why , for that too .",shakespeare
The crown was offered to him three times ?,Was the crown offered him thrice ?,shakespeare
"Yes , indeed , it was , and he pushed it away three times , each time more gently than the last ; and at each refusal my countrymen shouted .","Ay , marry , was 't , and he put it by thrice , every time gentler than other , and at every putting-by mine honest neighbors shouted .",shakespeare
Who offered him the crown ?,Who offered him the crown ?,shakespeare
Antony .,"Why , Antony .",shakespeare
"Tell us how it happened , noble Casca .","Tell us the manner of it , gentle Casca .",shakespeare
I can't explain it .,I can as well be hanged as tell the manner of it .,shakespeare
"I saw Mark Antony offer him a crown , though it wasn't a real crown , just a small circlet , and , as I told you , he refused it once , though in my opinion he would've liked to have it .","I saw Mark Antony offer him a crown ( yet 'twas not a crown neither , 'twas one of these coronets ) and , as I told you , he put it by once , but , for all that , to my thinking , he would fain have had it .",shakespeare
"Then Antony offered it to him again , and he refused it again ( though , in my opinion , he was reluctant to take his hand off it ) .","Then he offered it to him again , then he put it by again , but , to my thinking , he was very loath to lay his fingers off it .",shakespeare
Then Antony offered it the third time .,And then he offered it the third time .,shakespeare
"As for myself , I didn't dare laugh , for fear of opening my lips and inhaling the stinking air .","And for mine own part , I durst not laugh for fear of opening my lips and receiving the bad air .",shakespeare
"But wait a minute , please .","But soft , I pray you .",shakespeare
Did you say Caesar fainted ?,"What , did Caesar swoon ?",shakespeare
He fell down in the marketplace and foamed at the mouth and was speechless .,"He fell down in the marketplace , and foamed at mouth , and was speechless .",shakespeare
That's very likely .,Tis very like .,shakespeare
"He has epilepsy , a disease where you fall down .",He hath the falling sickness .,shakespeare
"No , Caesar doesn't have epilepsy .","No , Caesar hath it not .",shakespeare
"You and I , and honest Casca , we have epilepsy , we've fallen .","But you and I And honest Casca , we have the falling sickness .",shakespeare
"I don't know what you mean by that , but I'm sure Caesar fell down .","I know not what you mean by that , but I am sure Caesar fell down .",shakespeare
What did he say when he regained consciousness ?,What said he when he came unto himself ?,shakespeare
"Indeed , before he fell down , when he realized the commoners were glad he refused the crown , he pulled open his robe and offered them his throat to cut .","Marry , before he fell down , when he perceived the common herd was glad he refused the crown , he plucked me ope his doublet and offered them his throat to cut .",shakespeare
"If I'd been a common laborer and hadn't taken him up on his offer , to hell with me .","An I had been a man of any occupation , if I would not have taken him at a word , I would I might go to hell among the rogues .",shakespeare
And so he fainted .,And so he fell .,shakespeare
"When he regained consciousness again , he said that if he'd done or said anything wrong , he wanted them to know that it was all because of his sickness .","When he came to himself again , he said , if he had done or said anything amiss , he desired their worships to think it was his infirmity .",shakespeare
"Three or four women near me cried , ""Alas , good soul ! "" and forgave him with all their hearts .","Three or four wenches where I stood cried , ""Alas , good soul ! "" and forgave him with all their hearts .",shakespeare
"But never mind them , if Caesar had stabbed their mothers , they would've forgiven him .",If Caesar had stabbed their mothers they would have done no less .,shakespeare
And after that he came back here looking so serious ?,And after that he came thus sad away ?,shakespeare
Yes .,Ay .,shakespeare
Get out of here !,Hence !,shakespeare
"Go home , you lazy men .","Home , you idle creatures get you home !",shakespeare
"What , is today a holiday ?",Is this a holiday ?,shakespeare
"I'm a carpenter , sir .","Why , sir , a carpenter .",shakespeare
Where are your leather apron and your ruler ?,Where is thy leather apron and thy rule ?,shakespeare
"What are you doing , wearing your best clothes ?",What dost thou with thy best apparel on ?,shakespeare
"And you , sir , what's Well , compared to a fine workman , you might call me a mere cobbler .","Truly , sir , in respect of a fine workman , I am but , as you would say , a cobbler .",shakespeare
But what's your trade ?,But what trade art thou ?,shakespeare
Answer me straightforwardly .,Answer me directly .,shakespeare
"It is a trade , sir , that I practice with a clear conscience .","A trade , sir , that I hope I may use with a safe conscience , which is , indeed , sir , a mender of bad soles .",shakespeare
"What trade , boy ?","What trade , thou knave ?",shakespeare
"You insolent rascal , what trade ?","Thou naughty knave , what trade ?",shakespeare
"Sir , please , don't be angry .","Nay , I beseech you , sir , be not out with me .",shakespeare
"But if your soles are worn out , I can mend you .","Yet , if you be out , sir , I can mend you .",shakespeare
What do you mean by that ?,What mean'st thou by that ?,shakespeare
"Mend"" me , you impertinent fellow ?","Mend"" me , thou saucy fellow ?",shakespeare
Did Cicero say anything ?,Did Cicero say anything ?,shakespeare
"Yes , he said something in Greek .","Ay , he spoke Greek .",shakespeare
What did he say ?,To what effect ?,shakespeare
"If I told you I understood Greek , I'd be lying .","Nay , an I tell you that , I'll ne'er look you i ' th ' face again .",shakespeare
But those who understood him smiled at one another and shook their heads .,But those that understood him smiled at one another and shook their heads .,shakespeare
"As for myself , it was Greek to me .","But , for mine own part , it was Greek to me .",shakespeare
I have more news too .,I could tell you more news too .,shakespeare
Murellus and Flavius have been punished for pulling scarves off statues of Caesar .,"Murellus and Flavius , for pulling scarfs off Caesar's images , are put to silence .",shakespeare
There you go .,Fare you well .,shakespeare
"There was even more foolishness , if I could only remember it .","There was more foolery yet , if I could remember it .",shakespeare
"Will you have dinner with me tonight , Casca ?","Will you sup with me tonight , Casca ?",shakespeare
"No , I have a commitment .","No , I am promised forth .",shakespeare
Will you dine with me tomorrow ?,Will you dine with me tomorrow ?,shakespeare
"Yes , if I'm still alive , and you're still sane , and your dinner is worth eating .","Ay , if I be alive and your mind hold and your dinner worth the eating .",shakespeare
Good .,Good .,shakespeare
I'll expect you .,I will expect you .,shakespeare
Do so .,Do so .,shakespeare
Farewell to you both .,Farewell both .,shakespeare
What a stupid man he's become !,What a blunt fellow is this grown to be !,shakespeare
He was so sharp when he was in school .,He was quick mettle when he went to school .,shakespeare
"He's still sharp when it comes to carrying out a bold or noble enterprise , though he puts on this show of stupidity .","So is he now in execution Of any bold or noble enterprise , However he puts on this tardy form .",shakespeare
"He speaks roughly , but what he says is smart , and his roughness makes other people enjoy listening to him .","This rudeness is a sauce to his good wit , Which gives men stomach to digest his words With better appetite .",shakespeare
"You're right , that's how it is .",And so it is .,shakespeare
I'll leave you for now .,For this time I will leave you .,shakespeare
"If you'd like to talk tomorrow , I'll come to your home .","Tomorrow , if you please to speak with me , I will come home to you .",shakespeare
"Or , if you don't mind , come to my home , and I'll wait for you .","Or , if you will , Come home to me , and I will wait for you .",shakespeare
I'll do so .,I will do so .,shakespeare
"Until then , think about the well-being of Rome .","Till then , think of the world .",shakespeare
"Well , Brutus , you're noble .","Well , Brutus , thou art noble .",shakespeare
"Caesar resents me , but he loves Brutus .","Caesar doth bear me hard , but he loves Brutus .",shakespeare
"If I were Brutus now and Brutus were me , I wouldn't have let him influence me .","If I were Brutus now and he were Cassius , He should not humor me .",shakespeare
"Tonight I'll throw through his window a few letters in different handwriting , as if they came from several citizens , all testifying to the great respect Romans have for Brutus , and all alluding to Caesar's unseemly ambition .","I will this night , In several hands , in at his windows throw , As if they came from several citizens , Writings all tending to the great opinion That Rome holds of his name , wherein obscurely Caesar's ambition shall be glanced at .",shakespeare
Did you accompany Caesar home ?,Brought you Caesar home ?,shakespeare
"Cicero , I've seen storms in which the angry winds split old oak trees , and I've seen the ocean swell , rage , and foam , as if it wanted to reach the storm clouds , but never before tonight , never until now , have I experienced a storm that drops fire .","O Cicero , I have seen tempests when the scolding winds Have rived the knotty oaks , and I have seen Th ' ambitious ocean swell and rage and foam To be exalted with the threatening clouds , But never till tonight , never till now , Did I go through a tempest dropping fire .",shakespeare
"Either there are wars in heaven , or else the world , too insolent toward the gods , provokes them to send destruction .","Either there is a civil strife in heaven , Or else the world , too saucy with the gods , Incenses them to send destruction .",shakespeare
"Also , I've kept my sword unsheathed since I saw this , in front of the Capitol I met a lion who looked at me and strutted by without bothering to attack me .","Besides , I ha ' not since put up my sword , Against the Capitol I met a lion , Who glared upon me and went surly by , Without annoying me .",shakespeare
And there were a hundred spooked women huddled together in fear who swore they saw men on fire walk up and down the streets .,"And there were drawn Upon a heap a hundred ghastly women , Transformed with their fear , who swore they saw Men all in fire walk up and down the streets .",shakespeare
And yesterday the night owl sat hooting and shrieking in the marketplace at noon .,"And yesterday the bird of night did sit Even at noon-day upon the marketplace , Hooting and shrieking .",shakespeare
"When all these extraordinary things happen at once , we shouldn't say , ""These happenings can be explained rationally .","When these prodigies Do so conjointly meet , let not men say , ""These are their reasons .",shakespeare
"They're natural enough."" I think these things are omens of things to come in our country .","They are natural."" For I believe they are portentous things Unto the climate that they point upon .",shakespeare
"Indeed , it's a strange time .","Indeed , it is a strange-disposed time .",shakespeare
But men tend to interpret things however suits them and totally miss the actual meaning of the things themselves .,"But men may construe things after their fashion , Clean from the purpose of the things themselves .",shakespeare
Is Caesar visiting the Capitol tomorrow ?,Comes Caesar to the Capitol tomorrow ?,shakespeare
"He is , because he told Antonius to tell you he'd be there tomorrow .","He doth , for he did bid Antonius Send word to you he would be there tomorrow .",shakespeare
"Good night then , Casca .","Good night then , Casca .",shakespeare
This bad weather isn't good to walk around in .,This disturbed sky Is not to walk in .,shakespeare
A Roman .,A Roman .,shakespeare
"It's Casca , I know your voice .","Casca , by your voice .",shakespeare
Your ear is good .,Your ear is good .,shakespeare
"Cassius , what a night this is !","Cassius , what night is this !",shakespeare
It's a very pleasing night to honest men .,A very pleasing night to honest men .,shakespeare
Who ever saw the heavens threaten like this ?,Who ever knew the heavens menace so ?,shakespeare
Those who have known how bad things are here on earth .,Those that have known the earth so full of faults .,shakespeare
"I have walked around the streets , exposing myself to the perilous night , unbuttoned like this , as you see , Casca , baring my chest to the thunderbolt .","For my part , I have walked about the streets , Submitting me unto the perilous night , And , thus unbraced , Casca , as you see , Have bared my bosom to the thunder-stone .",shakespeare
"When the forked blue lightning seemed to break open the sky , I put myself right where I thought it would hit .","And when the cross blue lightning seemed to open The breast of heaven , I did present myself Even in the aim and very flash of it .",shakespeare
But why did you tempt the heavens like that ?,But wherefore did you so much tempt the heavens ?,shakespeare
Mankind's role is to fear and tremble when the almighty gods send warning signals .,It is the part of men to fear and tremble When the most mighty gods by tokens send Such dreadful heralds to astonish us .,shakespeare
"You're acting stupid , Casca , and you lack the quick wits that a Roman should have , or else you don't use them .","You are dull , Casca , and those sparks of life That should be in a Roman you do want , Or else you use not .",shakespeare
"You go pale , you stare , and you act in awe of the strange disturbance in the heavens .","You look pale , and gaze , And put on fear , and cast yourself in wonder To see the strange impatience of the heavens .",shakespeare
"A man no mightier than you or I in ability , yet grown as huge and frightening as tonight's strange happenings .","A man no mightier than thyself or me In personal action , yet prodigious grown , And fearful as these strange eruptions are .",shakespeare
Let it be who it is .,Let it be who it is .,shakespeare
"Our tolerance for slavery and oppression shows us to be weak , like women .",Our yoke and sufferance show us womanish .,shakespeare
"Indeed , they say that the senators plan to establish Caesar as a king tomorrow , and he'll wear his crown at sea and on land everywhere except here in Italy .","Indeed , they say the senators tomorrow Mean to establish Caesar as a king , And he shall wear his crown by sea and land In every place save here in Italy .",shakespeare
"I know where I'll wear this dagger , then .",I know where I will wear this dagger then .,shakespeare
I'll kill myself to save myself from slavery .,Cassius from bondage will deliver Cassius .,shakespeare
"In suicide , gods make the weak strong .","Therein , ye gods , you make the weak most strong .",shakespeare
"In suicide , gods allow tyrants to be defeated .","Therein , ye gods , you tyrants do defeat .",shakespeare
"No stony tower , no brass walls , no airless dungeon , no iron chains can contain a strong mind .","Nor stony tower , nor walls of beaten brass , Nor airless dungeon , nor strong links of iron Can be retentive to the strength of spirit .",shakespeare
"But if a man becomes weary of these obstacles , he can always kill himself .","But life , being weary of these worldly bars , Never lacks power to dismiss itself .",shakespeare
Let everyone beware : I can shake off the tyranny that now oppresses me whenever I choose .,"If I know this , know all the world besides , That part of tyranny that I do bear I can shake off at pleasure .",shakespeare
So can I .,So can I .,shakespeare
"In fact , every imprisoned man holds in his own hand the tool to free himself .",So every bondman in his own hand bears The power to cancel his captivity .,shakespeare
How can Caesar be a tyrant then ?,And why should Caesar be a tyrant then ?,shakespeare
Poor man !,Poor man !,shakespeare
I know he wouldn't be a wolf if the Romans didn't act like sheep .,I know he would not be a wolf But that he sees the Romans are but sheep .,shakespeare
He couldn't be a lion if the Romans weren't such easy prey .,He were no lion were not Romans hinds .,shakespeare
People who want to start a big fire quickly start with little twigs .,Those that with haste will make a mighty fire Begin it with weak straws .,shakespeare
"But , oh no !","But , O grief , Where hast thou led me ?",shakespeare
What have I said in my grief ?,Then I know My answer must be made .,shakespeare
Say no more .,"You speak to Casca , and to such a man That is no fleering telltale .",shakespeare
Shake my hand .,"Hold , my hand .",shakespeare
"If you're joining together to right these wrongs , I'll go as far as any one of you .","Be factious for redress of all these griefs , And I will set this foot of mine as far As who goes farthest .",shakespeare
That's a deal .,There's a bargain made .,shakespeare
"Now let me tell you , Casca , I have already convinced some of the noblest Romans to join me in an honorable but dangerous mission .","Now know you , Casca , I have moved already Some certain of the noblest-minded Romans To undergo with me an enterprise Of honorable-dangerous consequence .",shakespeare
And I know that by now they're waiting for me on the porch outside Pompey's theater .,And I do know by this they stay for me In Pompey's porch .,shakespeare
It's Cinna .,Tis Cinna .,shakespeare
I recognize his walk .,I do know him by his gait .,shakespeare
To find you .,To find out you .,shakespeare
Who's that ?,Who's that ?,shakespeare
Metellus Cimber ?,Metellus Cimber ?,shakespeare
"No , it's Casca , someone who's going to work with us .","No , it is Casca , one incorporate To our attempts .",shakespeare
"Aren't the others waiting for me , Cinna ?","Am I not stayed for , Cinna ?",shakespeare
I'm glad Casca is with us .,I am glad on 't .,shakespeare
What a fearful night this is !,What a fearful night is this !,shakespeare
Two or three of us have seen strange things .,There's two or three of us have seen strange sights .,shakespeare
Are the others waiting ?,Am I not stayed for ?,shakespeare
Tell me .,Tell me .,shakespeare
"Yes , they are .","Yes , you are .",shakespeare
"Oh , Cassius , if you could only convince Brutus to join us , Don't worry .","O Cassius , if you could But win the noble Brutus to our party , Be you content .",shakespeare
"Good Cinna , take this paper and be sure to lay it in the judge's chair where Brutus sits , so he'll find it .","Good Cinna , take this paper , And look you lay it in the praetor's chair Where Brutus may but find it .",shakespeare
"When you've finished all this , return to the porch of Pompey's theater , where you'll find us .","All this done , Repair to Pompey's porch , where you shall find us .",shakespeare
Are Decius Brutus and Trebonius there ?,Is Decius Brutus and Trebonius there ?,shakespeare
"Everyone's there except Metellus Cimber , and he's gone to look for you at your house .","All but Metellus Cimber , and he's gone To seek you at your house .",shakespeare
"Well , I'll hurry and put these papers where you told me .","Well , I will hie , And so bestow these papers as you bade me .",shakespeare
"When you've finished , go back to Pompey's theater .","That done , repair to Pompey's theatre .",shakespeare
"Come on , Casca , you and I will go see Brutus at his house before sunrise .","Come , Casca , you and I will yet ere day See Brutus at his house .",shakespeare
"Yes , you're absolutely right about how worthy Brutus is and how much we need him .",Him and his worth and our great need of him You have right well conceited .,shakespeare
"Let's go , because it's already after midnight , and we want him on our side before daylight .","Let us go , For it is after midnight , and ere day We will awake him and be sure of him .",shakespeare
"Wake up , I say !","Awake , I say !",shakespeare
Lucius !,"What , Lucius !",shakespeare
"Did you call me , my lord ?","Called you , my lord ?",shakespeare
"Put a candle in my study , Lucius .","Get me a taper in my study , Lucius .",shakespeare
Call me when it's lit .,"When it is lighted , come and call me here .",shakespeare
"I will , my lord .","I will , my lord .",shakespeare
"I have no personal reason to strike at him , only the best interest of the people .","It must be by his death , and for my part I know no personal cause to spurn at him But for the general .",shakespeare
He wants to be crowned .,He would be crowned .,shakespeare
"The question is , how would being king change him ?","How that might change his nature , there's the question .",shakespeare
"Evil can come from good , just as poisonous snakes tend to come out into the open on bright sunny days , which means we have to walk carefully .",It is the bright day that brings forth the adder And that craves wary walking .,shakespeare
"If we crown him , I have to admit we'd be giving him the power to do damage .","Crown him that , And then I grant we put a sting in him That at his will he may do danger with .",shakespeare
"Cobble you , sir .","Why , sir , cobble you .",shakespeare
"You're a cobbler , are you ?","Thou art a cobbler , art thou ?",shakespeare
"Sir , I make my living using an awl .","Truly , sir , all that I live by is with the awl .",shakespeare
I'm a surgeon to old shoes .,"I meddle with no tradesman's matters nor women's matters , but withal I am indeed , sir , a surgeon to old shoes .",shakespeare
"When they're endangered , I save them .","When they are in great danger , I recover them .",shakespeare
The noblest men who ever walked on leather have walked on my handiwork .,As proper men as ever trod upon neat's leather have gone upon my handiwork .,shakespeare
But why aren't you in your shop today ?,But wherefore art not in thy shop today ?,shakespeare
Why are you leading these men through the streets ?,Why dost thou lead these men about the streets ?,shakespeare
"Well , to wear out their shoes and get myself more work .","Truly , sir , to wear out their shoes to get myself into more work .",shakespeare
Why would you celebrate it ?,Wherefore rejoice ?,shakespeare
What victory does he bring home ?,What conquest brings he home ?,shakespeare
What foreign lands has he conquered and captive foreigners chained to his chariot wheels ?,What tributaries follow him to Rome To grace in captive bonds his chariot wheels ?,shakespeare
Rulers abuse their power when they separate it from compassion .,Th ' abuse of greatness is when it disjoins Remorse from power .,shakespeare
Caesar might act like that .,So Caesar may .,shakespeare
"Therefore , in case he does , we must hold him back .","Then , lest he may , prevent .",shakespeare
"And since our quarrel is with his future behavior , not what he does now , I must frame the argument like this : if his position is furthered , his character will fulfill these predictions .","And since the quarrel Will bear no color for the thing he is , Fashion it thus : that what he is , augmented , Would run to these and these extremities .",shakespeare
"The candle is burning in your study , sir .","The taper burneth in your closet , sir .",shakespeare
"While I was looking for a flint to light it , I found this paper on the window , sealed up like this , and I'm sure it wasn't there when I went to bed .","Searching the window for a flint , I found This paper , thus sealed up , and I am sure It did not lie there when I went to bed .",shakespeare
Go back to bed .,Get you to bed again .,shakespeare
It isn't daybreak yet .,It is not day .,shakespeare
"Is tomorrow the 15th of March , boy ?","Is not tomorrow , boy , the ides of March ?",shakespeare
"I don't know , sir .","I know not , sir .",shakespeare
Check the calendar and come tell me .,Look in the calendar and bring me word .,shakespeare
"I will , sir .","I will , sir .",shakespeare
"Sir , fifteen days of March have gone by .","Sir , March is wasted fifteen days .",shakespeare
Good .,Tis good .,shakespeare
Go to the gate .,Go to the gate .,shakespeare
Somebody's knocking .,Somebody knocks .,shakespeare
I haven't slept since Cassius first began to turn me against Caesar .,"Since Cassius first did whet me against Caesar , I have not slept .",shakespeare
Is he alone ?,Is he alone ?,shakespeare
Do you know them ?,Do you know them ?,shakespeare
Let them in .,Let 'em enter .,shakespeare
"Oh , conspiracy , are you ashamed to show your face even at night , when evil things are most free ?","O conspiracy , Shamest thou to show thy dangerous brow by night When evils are most free ?",shakespeare
"If so , when it's day , where are you going to find a cave dark enough to hide your monstrous face ?","O , then by day Where wilt thou find a cavern dark enough To mask thy monstrous visage ?",shakespeare
"Instead , hide your true face behind smiles and friendliness .",Hide it in smiles and affability .,shakespeare
I'm afraid we're intruding too boldly on your sleep time .,I think we are too bold upon your rest .,shakespeare
"Good morning , Brutus .","Good morrow , Brutus .",shakespeare
Are we bothering you ?,Do we trouble you ?,shakespeare
I've been up all night .,"I have been up this hour , awake all night .",shakespeare
Do I know these men who are with you ?,Know I these men that come along with you ?,shakespeare
This is Trebonius .,This is Trebonius .,shakespeare
He's welcome here .,He is welcome hither .,shakespeare
This is Decius Brutus .,"This , Decius Brutus .",shakespeare
He's welcome too .,He is welcome too .,shakespeare
This is Casca .,"This , Casca .",shakespeare
This is Cinna .,"This , Cinna .",shakespeare
And this is Metellus Cimber .,"And this , Metellus Cimber .",shakespeare
They're all welcome .,They are all welcome .,shakespeare
What worries have kept you awake tonight ?,What watchful cares do interpose themselves Betwixt your eyes and night ?,shakespeare
Can I have a word with you ?,Shall I entreat a word ?,shakespeare
Here's the east .,Here lies the east .,shakespeare
Won't the dawn come from here ?,Doth not the day break here ?,shakespeare
No .,No .,shakespeare
You're both wrong .,You shall confess that you are both deceived .,shakespeare
And let us swear to our resolution .,And let us swear our resolution .,shakespeare
"No , let's not swear an oath .","No , not an oath .",shakespeare
Then we can let this ambitious tyrant continue unchallenged until each of us is killed at his whim .,So let high-sighted tyranny range on Till each man drop by lottery .,shakespeare
"But if we have reasons that are strong enough to ignite cowards into action and to make weak women brave , and I think we do , then , countrymen , what else could we possibly need to spur us to action ?","But if these , As I am sure they do , bear fire enough To kindle cowards and to steel with valor The melting spirits of women , then , countrymen , What need we any spur but our own cause To prick us to redress ?",shakespeare
What bond do we need other than that of discreet Romans who have said what they're going to do and won't back down ?,What other bond Than secret Romans that have spoke the word And will not palter ?,shakespeare
And what oath do we need other than that we honest men have told each other that this will happen or we will die trying ?,"And what other oath Than honesty to honesty engaged , That this shall be , or we will fall for it ?",shakespeare
"Swearing is for priests , cowards , overly cautious men , feeble old people , and those long-suffering weaklings who welcome abuse .","Swear priests and cowards and men cautelous , Old feeble carrions and such suffering souls That welcome wrongs .",shakespeare
"Only men whom you wouldn't trust anyway would swear oaths , and for the worst reasons .",Unto bad causes swear Such creatures as men doubt .,shakespeare
"Don't spoil the justness and virtue of our endeavor nor weaken our own irrepressible spirits by thinking that we need a binding oath , when the blood that every noble Roman contains within him would be proven bastard's blood if he broke the smallest part of any promise he had made .","But do not stain The even virtue of our enterprise , Nor th ' insuppressive mettle of our spirits , To think that or our cause or our performance Did need an oath , when every drop of blood That every Roman bears , and nobly bears , Is guilty of a several bastardy If he do break the smallest particle Of any promise that hath passed from him .",shakespeare
But what about Cicero ?,But what of Cicero ?,shakespeare
Should we see what he thinks ?,Shall we sound him ?,shakespeare
I think he will stand strong with us .,I think he will stand very strong with us .,shakespeare
Let's not leave him out .,Let us not leave him out .,shakespeare
"No , by no means .","No , by no means .",shakespeare
"Yes , we should get his support , for his mature presence will make others think well of us and speak out in support of our actions .","O , let us have him , for his silver hairs Will purchase us a good opinion And buy men's voices to commend our deeds .",shakespeare
"They'll assume that Cicero , with his sound judgment , ordered the actions .",It shall be said his judgment ruled our hands .,shakespeare
"No , don't even mention him .","O , name him not .",shakespeare
He'll never follow anything that other men have started .,"Let us not break with him , For he will never follow anything That other men begin .",shakespeare
Then leave him out .,Then leave him out .,shakespeare
"Indeed , he's not right for this .",Indeed he is not fit .,shakespeare
"Good point , Decius .","Decius , well urged .",shakespeare
"I don't think it would be wise to let Mark Antony , whom Caesar is so fond of , outlive Caesar .","I think it is not meet Mark Antony , so well beloved of Caesar , Should outlive Caesar .",shakespeare
We'd find that he was a dangerous plotter .,We shall find of him A shrewd contriver .,shakespeare
